tag,labelhash,namehash
cthulhu.eth,0xbffecc646813c197d46dd1ed47f6b128e28f2636c48fdc4560c4bc2ce4ede942,0xf0d413e1c991a8e9419db23b9cbcbd7df2ceb8ee22bae7dad37398b87ad0de99
catwoman.eth,0x47fde7cc516ec8a0b52d9bcdd1e919224003e2dca12e8c870b1998132c7d6a74,0xd797fb9f68802883c0713824cde5fa2b5e8fc725e362eaee56a3f9e28801248e
golem.eth,0xd4e39c84da0a75928c17f94f3b74a17296e1f4d3f2b01e3d4747726dfcc5cd7e,0x425d4255a3adbf9796dc063334e866b832be0979bcef8d3fef4017ee7c517c1a
thanos.eth,0xfe1d754051f268d80f70f20766d59e07fb9ff0acfe53950d30db51d91b06d31d,0x577daf8e3d6044d872c5e375000a4281f9831f05ea85ffec7dcb81c44b3ac818
daredevil.eth,0xfaa3fe34091a486842ac5a36ac4a6e2fb3f133b70e7a732a237a5273038c836e,0xe0fb9cd7c48ad3841735260795eae88412cae00887e6072c2973bc45ffef5c57
aragorn.eth,0x450c25bdf47ee525626d199c1bb811c5d556e4ce809ffbc71fc022804e09fb8c,0xe9fe7aa7deb2e2947f6c2166a1b435eae3e6f5b5d1ff8524122c3644a2dd4c5d
kraken.eth,0x349df53c2354c03b3f1e2f33eedba00012c782d21c60ee340671dfbdb362b724,0xfc1f3cdc0a1ad78a39c2f519bb2462c835cc5514b98b85b15804a2efb3a0a4ce
goku.eth,0x3a1a5ae0a455833bd7de888aea3d67ba7aa67fec0cb35f8fa989b650ba7baab0,0xb6d7bef5029dc19f6743b5ff01d6d7dc35da5004727395a9c763d61a6eb1b468
palpatine.eth,0x70008715f4d456e6b7d2c26dfd22b7ac5e5a4e16f5516c8baf32d12f44bb3c9c,0x29819eed2c70a28b4b1dec84d55e41f844f793286300844329ceb58bfa8a2442
flash.eth,0xbd285076e0e7bc276747d4b671e27112fad564f7b7a2d750fe79219f371bfaa2,0xc740dd1041a776f7833984bea76d7422cdde66c202bd87ea151bafac0683c9fb
luigi.eth,0xb11c8f6c8c7b708e6f7f85bd12ad3215e3ce72e52f9fc1c3bf9888c1f40e3a98,0x4ce55b7166d7b051359e539cb1b49a97e9e9a986c8c472430ccc9e2ec5bd2a88
gollum.eth,0xe247a97ea5cd39050abfa6c42aa556c27acebcfc7386256ea256be4c9fc8109f,0x635e1bd179026ec7ed6f84d9c263e366179fa0b775434c318f13e83dc47ae552
legolas.eth,0x23623ccc804a687f2076cec17986c6a680ba1b7e3550e231c8f5dbd31f88222b,0x70407c853ea68e3f3b67dd2528038ea42bfc9d12a146aab9efdc5d5b0f975a06
faust.eth,0x5c01d684b5f9227f9c99acb98718649c2d9ff0a73ba8edaf51401cd4890b825f,0x02720ee04b784bc2f8512393d1f0229f0c8abe9bab71e9f6114a878bbaf89973
smaug.eth,0x997c7353623997cb46869f594635a02d2cb9620bc4c198a201162c2f261d2708,0xab70acdfb674916942dd5113e2db7410392b77781fa0d8a118647b79130e2c74
aquaman.eth,0xc498fc468f9df30d9f6507a79b728c67d9657cedc68c67b630995015b31a7773,0x57124b7d6c6cbe1a3075ea8979ea6d12c83c73b5600d8bc1283392a76e01ab17
lancelot.eth,0x7aa5624b37f5a700242c796becadda6d9f254344c8a92d500b7faf9f22505427,0x578d515eeb3060028dc4e72d9a20c2834e6cadec16db3fb11659edf37ec1ab04
chewbacca.eth,0x9c9a9df692a343239fc4ecc51ac21173e93b61940be96e022cfa82498a00232f,0xba31af34cf4b99af6867fb9660df2a6bf2e460185ef6591c55bf72a86c4906ef
zorro.eth,0x19b37af256eac1d837db8e239092a5fac05c576f8f21596cc4800d28c71a6f99,0x82816e896bbdc3baa76862cad5747e0145de89eeb23a59794403a712d3005704
galadriel.eth,0xbac4443e35fd02957c8b77195ed456ac7fa4f405af9268b6ff7fcdd2d699f9d1,0x84fd050d6af23095bfd92c79512c093f1a3edb20e8bd27c156f03deb7c53acf6
krampus.eth,0x282078d265eea1d76257a22ec05b8cd30877830e8537a552176c57f373a4c760,0x931e28b0ecc3f329bf1408e500ed6e408abc5c3773a79af5970858145d50f793
snoopy.eth,0x7858aee409644635f918987d5910192b47450f36bfdbca1aff99a6b8682c4025,0x8d7c02175eb0a4783a9488603ba1712893b28c56bf412ac459458217a8fe8b8f
