skibidi
skibiditoilet
ohio
sixseven
unc
rizz
sigma
alphamale
beta
mog
mogging
mewing
looksmaxxing
maxxing
edging
aura
based
cringe
delulu
pookie
bop
npc
maincharacter
slay
ate
periodt
bruh
bro
bffr
bet
cap
nocap
yikes
sus
sussy
mid
bussin
hitsdifferent
lowkey
highkey
iykyk
lit
fire
slaps
drip
fit
flex
glowup
stan
ship
ghosted
ghosting
ick
wompwomp
skillissue
ratio
touchgrass
cope
copium
frfr
ong
glazing
spillthetea
tea
snack
smol
vibe
vibes
vibing
vibey
savage
salty
finna
noob
gg
