abra.eth
aerodactyl.eth
alakazam.eth
arbok.eth
arcanine.eth
articuno.eth
beedrill.eth
bellsprout.eth
blastoise.eth
bulbasaur.eth
butterfree.eth
caterpie.eth
chansey.eth
charizard.eth
charmander.eth
charmeleon.eth
clefable.eth
clefairy.eth
cloyster.eth
cubone.eth
dewgong.eth
diglett.eth
ditto.eth
dodrio.eth
doduo.eth
dragonair.eth
dragonite.eth
dratini.eth
drowzee.eth
dugtrio.eth
eevee.eth
ekans.eth
electabuzz.eth
electrode.eth
exeggcute.eth
exeggutor.eth
farfetchd.eth
fearow.eth
flareon.eth
gastly.eth
gengar.eth
geodude.eth
gloom.eth
golbat.eth
goldeen.eth
golduck.eth
golem.eth
graveler.eth
grimer.eth
growlithe.eth
gyarados.eth
haunter.eth
hitmonchan.eth
hitmonlee.eth
horsea.eth
hypno.eth
ivysaur.eth
jigglypuff.eth
jolteon.eth
jynx.eth
kabuto.eth
kabutops.eth
kadabra.eth
kakuna.eth
kangaskhan.eth
kingler.eth
koffing.eth
krabby.eth
lapras.eth
lickitung.eth
machamp.eth
machoke.eth
machop.eth
magikarp.eth
magmar.eth
magnemite.eth
magneton.eth
mankey.eth
marowak.eth
meowth.eth
metapod.eth
mew.eth
mewtwo.eth
moltres.eth
mrmime.eth
muk.eth
nidoking.eth
nidoqueen.eth
nidoran♀.eth
nidoran♂.eth
nidorina.eth
nidorino.eth
ninetales.eth
oddish.eth
omanyte.eth
omastar.eth
onix.eth
paras.eth
parasect.eth
persian.eth
pidgeot.eth
pidgeotto.eth
pidgey.eth
pikachu.eth
pinsir.eth
poliwag.eth
poliwhirl.eth
poliwrath.eth
ponyta.eth
porygon.eth
primeape.eth
psyduck.eth
raichu.eth
rapidash.eth
raticate.eth
rattata.eth
rhydon.eth
rhyhorn.eth
sandshrew.eth
sandslash.eth
scyther.eth
seadra.eth
seaking.eth
seel.eth
shellder.eth
slowbro.eth
slowpoke.eth
snorlax.eth
spearow.eth
squirtle.eth
starmie.eth
staryu.eth
tangela.eth
tauros.eth
tentacool.eth
tentacruel.eth
vaporeon.eth
venomoth.eth
venonat.eth
venusaur.eth
victreebel.eth
vileplume.eth
voltorb.eth
vulpix.eth
wartortle.eth
weedle.eth
weepinbell.eth
weezing.eth
wigglytuff.eth
zapdos.eth
zubat.eth
