aipom.eth
ampharos.eth
ariados.eth
azumarill.eth
bayleef.eth
bellossom.eth
blissey.eth
celebi.eth
chikorita.eth
chinchou.eth
cleffa.eth
corsola.eth
crobat.eth
croconaw.eth
cyndaquil.eth
delibird.eth
donphan.eth
dunsparce.eth
elekid.eth
entei.eth
espeon.eth
feraligatr.eth
flaaffy.eth
forretress.eth
furret.eth
girafarig.eth
gligar.eth
granbull.eth
heracross.eth
hitmontop.eth
ho-oh.eth
hoothoot.eth
hoppip.eth
houndoom.eth
houndour.eth
igglybuff.eth
jumpluff.eth
kingdra.eth
lanturn.eth
larvitar.eth
ledian.eth
ledyba.eth
lugia.eth
magby.eth
magcargo.eth
mantine.eth
mareep.eth
marill.eth
meganium.eth
miltank.eth
misdreavus.eth
murkrow.eth
natu.eth
noctowl.eth
octillery.eth
phanpy.eth
pichu.eth
piloswine.eth
pineco.eth
politoed.eth
porygon2.eth
pupitar.eth
quagsire.eth
quilava.eth
qwilfish.eth
raikou.eth
remoraid.eth
scizor.eth
sentret.eth
shuckle.eth
skarmory.eth
skiploom.eth
slowking.eth
slugma.eth
smeargle.eth
smoochum.eth
sneasel.eth
snubbull.eth
spinarak.eth
stantler.eth
steelix.eth
sudowoodo.eth
suicune.eth
sunflora.eth
sunkern.eth
swinub.eth
teddiursa.eth
togepi.eth
togetic.eth
totodile.eth
typhlosion.eth
tyranitar.eth
tyrogue.eth
umbreon.eth
unown.eth
ursaring.eth
wobbuffet.eth
wooper.eth
xatu.eth
yanma.eth

