afghani
ariary
balboa
baht
bolivar
boliviano
cedi
colon
colón
cordoba
córdoba
dalasi
denar
dinar
dirham
dobra
dollar
dong
dram
escudo
euro
florin
forint
franc
gourde
guarani
guaraní
hryvnia
hryvna
kina
kip
koruna
krone
krona
kwacha
kwanza
lari
lempira
leone
leu
lei
lev
leva
lilangeni
lira
loti
manat
metical
naira
nakfa
ngultrum
sol
ouguiya
pataca
peso
pound
pula
quetzal
rand
real
riel
riyal
rial
ruble
rouble
rufiyaa
rufiya
rupee
rupiah
shilling
som
somoni
taka
tala
tenge
tugrik
tögrög
vatu
won
yen
yuan
renminbi
zloty
