turtwig.eth
grotle.eth
torterra.eth
chimchar.eth
monferno.eth
infernape.eth
piplup.eth
prinplup.eth
empoleon.eth
starly.eth
staravia.eth
staraptor.eth
bidoof.eth
bibarel.eth
kricketot.eth
kricketune.eth
shinx.eth
luxio.eth
luxray.eth
budew.eth
roserade.eth
cranidos.eth
rampardos.eth
shieldon.eth
bastiodon.eth
burmy.eth
wormadam.eth
mothim.eth
combee.eth
vespiquen.eth
pachirisu.eth
buizel.eth
floatzel.eth
cherubi.eth
cherrim.eth
shellos.eth
gastrodon.eth
ambipom.eth
drifloon.eth
drifblim.eth
buneary.eth
lopunny.eth
mismagius.eth
honchkrow.eth
glameow.eth
purugly.eth
chingling.eth
stunky.eth
skuntank.eth
bronzor.eth
bronzong.eth
bonsly.eth
mimejr.eth
happiny.eth
chatot.eth
spiritomb.eth
gible.eth
gabite.eth
garchomp.eth
munchlax.eth
riolu.eth
lucario.eth
hippopotas.eth
hippowdon.eth
skorupi.eth
drapion.eth
croagunk.eth
toxicroak.eth
carnivine.eth
finneon.eth
lumineon.eth
mantyke.eth
snover.eth
abomasnow.eth
weavile.eth
magnezone.eth
lickilicky.eth
rhyperior.eth
tangrowth.eth
electivire.eth
magmortar.eth
togekiss.eth
yanmega.eth
leafeon.eth
glaceon.eth
gliscor.eth
mamoswine.eth
porygon-z.eth
gallade.eth
probopass.eth
dusknoir.eth
froslass.eth
rotom.eth
uxie.eth
mesprit.eth
azelf.eth
dialga.eth
palkia.eth
heatran.eth
regigigas.eth
giratina.eth
cresselia.eth
phione.eth
manaphy.eth
darkrai.eth
shaymin.eth
arceus.eth
