absol.eth
aggron.eth
altaria.eth
anorith.eth
armaldo.eth
aron.eth
azurill.eth
bagon.eth
baltoy.eth
banette.eth
barboach.eth
beautifly.eth
beldum.eth
blaziken.eth
breloom.eth
cacnea.eth
cacturne.eth
camerupt.eth
carvanha.eth
cascoon.eth
castform.eth
chimecho.eth
clamperl.eth
claydol.eth
combusken.eth
corphish.eth
cradily.eth
crawdaunt.eth
delcatty.eth
deoxys.eth
dusclops.eth
duskull.eth
dustox.eth
electrike.eth
exploud.eth
feebas.eth
flygon.eth
gardevoir.eth
glalie.eth
gorebyss.eth
groudon.eth
grovyle.eth
grumpig.eth
gulpin.eth
hariyama.eth
huntail.eth
illumise.eth
jirachi.eth
kecleon.eth
kirlia.eth
kyogre.eth
lairon.eth
latias.eth
latios.eth
lileep.eth
linoone.eth
lombre.eth
lotad.eth
loudred.eth
ludicolo.eth
lunatone.eth
luvdisc.eth
makuhita.eth
manectric.eth
marshtomp.eth
masquerain.eth
mawile.eth
medicham.eth
meditite.eth
metagross.eth
metang.eth
mightyena.eth
milotic.eth
minun.eth
mudkip.eth
nincada.eth
ninjask.eth
nosepass.eth
numel.eth
nuzleaf.eth
pelipper.eth
plusle.eth
poochyena.eth
ralts.eth
rayquaza.eth
regice.eth
regirock.eth
registeel.eth
relicanth.eth
roselia.eth
sableye.eth
salamence.eth
sceptile.eth
sealeo.eth
seedot.eth
seviper.eth
sharpedo.eth
shedinja.eth
shelgon.eth
shiftry.eth
shroomish.eth
shuppet.eth
silcoon.eth
skitty.eth
slaking.eth
slakoth.eth
snorunt.eth
solrock.eth
spheal.eth
spinda.eth
spoink.eth
surskit.eth
swablu.eth
swalot.eth
swampert.eth
swellow.eth
taillow.eth
torchic.eth
torkoal.eth
trapinch.eth
treecko.eth
tropius.eth
vibrava.eth
vigoroth.eth
volbeat.eth
wailmer.eth
wailord.eth
walrein.eth
whiscash.eth
whismur.eth
wingull.eth
wurmple.eth
wynaut.eth
zangoose.eth
zigzagoon.eth
