tag,bestEntity,bestNameUsed,bestSitelinks
quasimodo,http://www.wikidata.org/entity/Q1750634,Quasimodo,35
luna,http://www.wikidata.org/entity/Q1235172,Luna,35
utnapishtim,http://www.wikidata.org/entity/Q767983,Utnapishtim,35
link,http://www.wikidata.org/entity/Q568553,Link,35
charizard,http://www.wikidata.org/entity/Q844940,Charizard,35
mowgli,http://www.wikidata.org/entity/Q1381592,Mowgli,34
galahad,http://www.wikidata.org/entity/Q831462,Galahad,34
percival,http://www.wikidata.org/entity/Q728510,Percival,34
fingolfin,http://www.wikidata.org/entity/Q217190,Fingolfin,34
asterix,http://www.wikidata.org/entity/Q7620503,Asterix,34
blade,http://www.wikidata.org/entity/Q881024,Blade,34
ananse,http://www.wikidata.org/entity/Q485953,Ananse,34
aang,http://www.wikidata.org/entity/Q1640011,Aang,34
adapa,http://www.wikidata.org/entity/Q1051459,Adapa,33
ahalya,http://www.wikidata.org/entity/Q796591,Ahalya,33
hippocamp,http://www.wikidata.org/entity/Q816795,hippocamp,33
sinterklaas,http://www.wikidata.org/entity/Q5764991,Sinterklaas,33
thranduil,http://www.wikidata.org/entity/Q746840,Thranduil,33
zabivaka,http://www.wikidata.org/entity/Q27500909,Zabivaka,33
gambit,http://www.wikidata.org/entity/Q2639150,Gambit,33
vegeta,http://www.wikidata.org/entity/Q180916,Vegeta,33
storm,http://www.wikidata.org/entity/Q632212,Storm,33
bane,http://www.wikidata.org/entity/Q158940,Bane,33
cyborg,http://www.wikidata.org/entity/Q2466726,Cyborg,33
radagast,http://www.wikidata.org/entity/Q719492,Radagast,32
denethor,http://www.wikidata.org/entity/Q718380,Denethor,32
ophelia,http://www.wikidata.org/entity/Q1800888,Ophelia,32
alice,http://www.wikidata.org/entity/Q1269082,Alice,32
orochimaru,http://www.wikidata.org/entity/Q1744341,Orochimaru,32
pulcinella,http://www.wikidata.org/entity/Q1147934,Pulcinella,32
beast,http://www.wikidata.org/entity/Q302186,Beast,32
darkseid,http://www.wikidata.org/entity/Q430698,Darkseid,32
scarecrow,http://www.wikidata.org/entity/Q295375,Scarecrow,32
megatron,http://www.wikidata.org/entity/Q828473,Megatron,32
sandman,http://www.wikidata.org/entity/Q627323,Sandman,32
kingpin,http://www.wikidata.org/entity/Q1753322,Kingpin,32
galactus,http://www.wikidata.org/entity/Q1429836,Galactus,32
loki,http://www.wikidata.org/entity/Q1147326,Loki,32
finn,http://www.wikidata.org/entity/Q21772120,Finn,31
toad,http://www.wikidata.org/entity/Q1061603,Toad,31
simba,http://www.wikidata.org/entity/Q1649583,Simba,31
fereydun,http://www.wikidata.org/entity/Q1150281,Fereydun,31
bedivere,http://www.wikidata.org/entity/Q202529,Bedivere,31
celeborn,http://www.wikidata.org/entity/Q719208,Celeborn,31
romeo,http://www.wikidata.org/entity/Q673361,Romeo,31
lizard,http://www.wikidata.org/entity/Q19382,Lizard,31
groot,http://www.wikidata.org/entity/Q3116935,Groot,31
quicksilver,http://www.wikidata.org/entity/Q929273,Quicksilver,31
mystique,http://www.wikidata.org/entity/Q737236,Mystique,31
melusine,http://www.wikidata.org/entity/Q940279,Melusine,31
cyclops,http://www.wikidata.org/entity/Q857921,Cyclops,31
snowy,http://www.wikidata.org/entity/Q1640056,Snowy,31
wasp,http://www.wikidata.org/entity/Q648125,Wasp,30
ariel,http://www.wikidata.org/entity/Q892442,Ariel,30
brock,http://www.wikidata.org/entity/Q864918,Brock,30
subhadra,http://www.wikidata.org/entity/Q1982348,Subhadra,30
satyavati,http://www.wikidata.org/entity/Q2044655,Satyavati,30
aslan,http://www.wikidata.org/entity/Q762731,Aslan,30
leshy,http://www.wikidata.org/entity/Q1056876,Leshy,30
caganer,http://www.wikidata.org/entity/Q36029,caganer,30
pierrot,http://www.wikidata.org/entity/Q17309,Pierrot,30
misha,http://www.wikidata.org/entity/Q1156071,Misha,30
vision,http://www.wikidata.org/entity/Q2307071,Vision,30
grogu,http://www.wikidata.org/entity/Q77001957,Grogu,29
marsupilami,http://www.wikidata.org/entity/Q841812,Marsupilami,29
misty,http://www.wikidata.org/entity/Q1057356,Misty,29
woody,http://www.wikidata.org/entity/Q2290907,Woody,29
bhrigu,http://www.wikidata.org/entity/Q855089,Bhrigu,29
winnetou,http://www.wikidata.org/entity/Q828542,Winnetou,29
treebeard,http://www.wikidata.org/entity/Q754477,Treebeard,29
data,http://www.wikidata.org/entity/Q22983,Data,29
elendil,http://www.wikidata.org/entity/Q719736,Elendil,29
wojak,http://www.wikidata.org/entity/Q58841951,Wojak,29
doraemon,http://www.wikidata.org/entity/Q1186309,Doraemon,29
nightcrawler,http://www.wikidata.org/entity/Q5342183,Nightcrawler,29
skynet,http://www.wikidata.org/entity/Q478507,Skynet,29
sabretooth,http://www.wikidata.org/entity/Q431862,Sabretooth,29
pedobear,http://www.wikidata.org/entity/Q927144,Pedobear,29
hellboy,http://www.wikidata.org/entity/Q1150106,Hellboy,29
mewtwo,http://www.wikidata.org/entity/Q2141803,Mewtwo,29
dementor,http://www.wikidata.org/entity/Q1774273,dementor,28
ogopogo,http://www.wikidata.org/entity/Q910763,Ogopogo,28
shrek,http://www.wikidata.org/entity/Q52401,Shrek,28
sylvester,http://www.wikidata.org/entity/Q10990037,Sylvester,28
faustulus,http://www.wikidata.org/entity/Q1162374,Faustulus,28
waluigi,http://www.wikidata.org/entity/Q1050827,Waluigi,28
ahiqar,http://www.wikidata.org/entity/Q340528,Ahiqar,28
pennywise,http://www.wikidata.org/entity/Q3899150,Pennywise,28
kamsa,http://www.wikidata.org/entity/Q2092267,Kamsa,28
sandokan,http://www.wikidata.org/entity/Q831605,Sandokan,28
firebird,http://www.wikidata.org/entity/Q844432,Firebird,28
finarfin,http://www.wikidata.org/entity/Q1135676,Finarfin,28
dobby,http://www.wikidata.org/entity/Q1254953,Dobby,28
juliet,http://www.wikidata.org/entity/Q1092632,Juliet,28
nami,http://www.wikidata.org/entity/Q877964,Nami,28
bulma,http://www.wikidata.org/entity/Q1614785,Bulma,28
zakami,http://www.wikidata.org/entity/Q144848,Zakami,28
bender,http://www.wikidata.org/entity/Q750023,Bender,28
