theater
theatre
drama
play
musical
musicaltheater
broadway
offbroadway
opera
operetta
ballet
dance
dancing
moderndance
tapdance
jazzdance
hiphopdance
ballroomdance
waltz
tango
salsa
flamenco
folkdance
orchestra
symphony
philharmonic
choir
chorus
ensemble
quartet
trio
duet
solo
recital
concert
gig
performance
show
matinee
encore
audition
callback
rehearsal
workshop
preview
openingnight
closingnight
intermission
curtaincall
act
acts
acting
actor
actress
performer
cast
understudy
director
producer
playwright
choreographer
conductor
maestro
stagehand
crew
props
backstage
frontofhouse
stageleft
stageright
centerstage
upstage
downstage
blocking
improv
improvisation
monologue
dialogue
soliloquy
scene
script
screenplay
libretto
score
lyrics
composition
sing
sings
dances
singing
singer
vocalist
vocal
aria
falsetto
vibrato
belting
harmony
pitch
tone
timbre
soprano
mezzo
alto
tenor
baritone
bass
cantata
oratorio
anthem
chorale
motet
requiem
piano
violin
viola
cello
doublebass
harp
flute
clarinet
oboe
bassoon
trumpet
trombone
tuba
frenchhorn
saxophone
percussion
drums
guitar
acousticguitar
electricguitar
bassguitar
keyboard
organ
synthesizer
mandolin
banjo
ukulele
xylophone
marimba
triangle
tambourine
cymbals
timpani
comedy
tragedy
farce
melodrama
satire
burlesque
cabaret
vaudeville
pantomime
circus
mime
puppetry
spokenword
standup
sketchcomedy
baroque
classical
romantic
modernist
minimalism
ticket
playbill
program
usher
boxoffice
housemanager
techrehearsal
dressrehearsal
cue
lights
spotlight
soundcheck
microphone
headset
orchestrapit
greenroom
wings
flysystem
rigging
scrim
cyclorama
proscenium
thruststage
blackbox
amphitheater
pirouette
plie
arabesque
grandjete
pasdedeux
fouette
adagio
allegro
overture
recitative
cadenza
coloratura
methodacting
dramaturg
orchestration
arrangement
arranger
composer
improvisationtheater
physicaltheater
principalrole
supportingrole
leadrole
swing
dancecaptain
musicdirector
assistantdirector
assistantconductor
stagecombat
voiceover
voiceacting
narration
coldread
sightreading
eartraining
scales
arpeggio
cadence
modulation
tempo
rubato
crescendo
legato
staccato
forte
pianissimo
fortissimo
counterpoint
fugue
sonata
suite
concerto
chambermusic
brasssection
woodwinds
stringssection
rhythmsection
pitband
houseband
touringcompany
festival
fringe
westend
metopera
carnegiehall
kennedycenter
lincolncenter
stagepresence
showmanship
curtain
backdrop
setpiece
set
sets
costume
makeup
prosthetics
wardrobe
quickchange
lyricist
songwriter
soundtrack
castalbum
conceptalbum
soundboard
mixing
footwork
runthrough
theatrical
soldout
recitalhall
choral
vocalcoach
danceclass
production
applause
ovation
choreography
ensemblecast
dramaticarts
performingarts
theaterarts
theatertroupe
improvtroupe
openmic
masterclass
conservatory
performingartscenter
